date,rank_score
2019-09-03,3469108
2019-09-05,3863810
2019-09-10,3052886
2019-09-12,1795784
2019-09-13,5793224
2019-09-14,626855
2019-09-16,1493460
2019-09-17,2743865
2019-09-18,1007096
2019-09-19,1683480
2019-09-20,2404475
2019-09-22,1702044
2019-09-23,1295466
2019-09-30,4740317
2019-09-30,3311226
2019-10-04,6308864
2019-10-04,3795829
2019-10-08,752956
2019-10-10,655712
2019-10-12,2551590
2019-10-13,2407337
2019-10-23,3383186
2019-10-23,3646894
2019-10-26,2112729
2019-10-28,8710754
2019-10-31,826221
2019-11-11,1708898
2019-11-14,2174724
2019-11-14,2578685
2019-11-15,3471752
2019-11-15,1493740
2019-11-15,3088486
2019-11-15,1017096
2019-11-17,1283568
2019-11-23,1782145
2019-11-28,2688879
2019-12-03,2006378
2019-12-03,4436629
2019-12-07,1679180
2019-12-07,14320099
2019-12-07,1263445
2019-12-08,2138240
2019-12-08,1196353
2019-12-13,7866051
2019-12-14,2578754
2019-12-15,2504556
2019-12-15,1299548
2019-12-17,2445639
2019-12-19,2187547
2019-12-21,1133319
2019-12-24,2723099
2019-12-26,4122243
2019-12-27,1954260
2019-12-27,3828721
2019-12-27,3104245
2019-12-29,1642597
2019-12-31,2050557
2020-01-01,1928189
2020-01-01,1215638
2020-01-06,2927177
2020-01-06,2519696
2020-01-07,1140999
2020-01-09,3426783
2020-01-12,8020036
2020-01-16,1622871
2020-01-16,5682019
2020-01-17,907407
2020-01-17,694383
2020-01-19,1574493
2020-01-22,2076124
2020-01-23,1365531
2020-01-24,1728779
2020-01-25,2192712
2020-01-28,1352454
2020-01-28,1952521
2020-01-30,431384
2020-02-02,19100552
2020-02-02,2841616
2020-02-07,2344419
2020-02-09,3799778
2020-02-11,594475
2020-02-12,6895587
2020-02-13,793989
2020-02-14,3025812
2020-02-16,1903034
2020-02-18,1447077
2020-02-19,9093462
2020-02-22,5619284
2020-02-23,595876
2020-02-24,1596670
2020-02-25,1600397
2020-02-26,692261
2020-02-26,2938750
2020-02-26,1770063
2020-02-29,1301647
