pubmonth,video_count
2019-06,1
2022-06,2
2022-07,12
2022-08,11
2022-09,5
2022-10,3
2022-11,1
2022-12,2
2023-01,2
2023-02,1
2023-05,4
2023-06,2
2023-07,1
2023-08,1
2023-09,1
2024-01,1
