group,variable,value
2020-11,what,0
2020-12,what,0
2021-01,what,0
2021-02,what,0
2021-03,what,0
2021-04,what,0
2021-05,what,0
2021-06,what,0
2021-07,what,0
2021-08,what,0
2021-09,what,0
2021-10,what,0
2021-11,what,0
2021-12,what,0
2022-01,what,0
2022-02,what,1
2022-03,what,0
2022-04,what,1
2022-05,what,7
2022-06,what,29
2022-07,what,33
2022-08,what,20
2022-09,what,14
2022-10,what,9
2022-11,what,10
2022-12,what,10
2023-01,what,14
2023-02,what,10
2023-03,what,10
2023-04,what,8
2023-05,what,12
2023-06,what,9
2023-07,what,3
2023-08,what,2
2023-09,what,0
2023-10,what,0
2023-11,what,0
2023-12,what,6
2024-01,what,2
2024-02,what,1
2016-12,basketball,0
2017-09,basketball,0
2018-02,basketball,0
2018-04,basketball,0
2018-05,basketball,0
2018-08,basketball,0
2018-11,basketball,0
2018-12,basketball,0
2019-01,basketball,1
2019-02,basketball,3
2019-03,basketball,13
2019-04,basketball,14
2019-05,basketball,3
2019-06,basketball,3
2019-07,basketball,2
2019-08,basketball,3
2019-09,basketball,0
2019-10,basketball,1
2019-11,basketball,0
2019-12,basketball,1
2020-01,basketball,0
2020-02,basketball,0
2020-03,basketball,1
2020-04,basketball,0
2020-05,basketball,0
2020-06,basketball,0
2020-07,basketball,0
2020-08,basketball,0
2020-09,basketball,0
2020-10,basketball,1
2020-11,basketball,0
2020-12,basketball,1
2021-01,basketball,0
2021-02,basketball,0
2021-03,basketball,0
2021-04,basketball,0
2021-05,basketball,0
2021-06,basketball,1
2021-07,basketball,0
2021-08,basketball,0
2021-09,basketball,0
2021-10,basketball,0
2021-11,basketball,0
2021-12,basketball,0
2022-01,basketball,0
2022-02,basketball,0
2022-03,basketball,0
2022-04,basketball,1
2022-05,basketball,1
2022-06,basketball,2
2022-07,basketball,12
2022-08,basketball,16
2022-09,basketball,8
2022-10,basketball,5
2022-11,basketball,7
2022-12,basketball,5
2023-01,basketball,1
2023-02,basketball,3
2023-03,basketball,1
2023-04,basketball,5
2023-05,basketball,2
2023-06,basketball,1
2023-07,basketball,3
2023-08,basketball,0
2023-09,basketball,1
2023-10,basketball,1
2023-11,basketball,0
2023-12,basketball,1
2024-01,basketball,2
2024-02,basketball,0
