pubdate,title,danmaku,arcurl,aid
2019-04-26,-1,12489,-1,-1
2019-04-27,-1,3212,-1,-1
2019-04-28,-1,4112,-1,-1
2019-04-29,-1,11994,-1,-1
2019-04-29,-1,6454,-1,-1
2019-04-30,-1,6523,-1,-1
2019-04-30,-1,2658,-1,-1
2019-04-30,-1,22268,-1,-1
2019-05-01,-1,14789,-1,-1
2019-05-02,男子参加选秀模仿蔡徐鲲打篮球，惊呆了观众评委...,23454,http://www.bilibili.com/video/av51199752,51199752
2019-05-02,-1,8947,-1,-1
2019-05-02,-1,3130,-1,-1
2019-05-03,-1,2794,-1,-1
2019-05-03,-1,4002,-1,-1
2019-05-03,-1,4287,-1,-1
2019-05-03,-1,1570,-1,-1
2019-05-03,-1,8639,-1,-1
2019-05-04,你这鲲鲲已经会勾引人？,54607,http://www.bilibili.com/video/av51442604,51442604
2019-05-05,用3000根火柴绘成坤坤打篮球，点燃的那一瞬间，鸡你太美！,52907,http://www.bilibili.com/video/av51570615,51570615
2019-05-05,-1,2168,-1,-1
2019-05-08,只因你太美（鸡你太美）原版,24547,http://www.bilibili.com/video/av51818204,51818204
2019-05-09,-1,3921,-1,-1
2019-05-10,当蔡徐坤穿越到《我的世界》生存,39671,http://www.bilibili.com/video/av52017564,52017564
2019-05-10,-1,1145,-1,-1
2019-05-10,-1,6655,-1,-1
2019-05-13,-1,7245,-1,-1
2019-05-13,-1,2845,-1,-1
2019-05-13,-1,6815,-1,-1
2019-05-13,-1,3433,-1,-1
2019-05-14,-1,1620,-1,-1
2019-05-15,午 夜 鲲 铃,70204,http://www.bilibili.com/video/av52530904,52530904
2019-05-18,-1,15059,-1,-1
2019-05-19,-1,8174,-1,-1
2019-05-23,鬼畜区UP被ikun骂到自闭（读私信）,142223,http://www.bilibili.com/video/av53347911,53347911
2019-05-24,-1,1334,-1,-1
2019-05-25,-1,3335,-1,-1
2019-05-25,-1,8715,-1,-1
2019-05-28,-1,483,-1,-1
2019-05-30,-1,2764,-1,-1
2019-05-30,-1,1370,-1,-1
2019-05-31,-1,3643,-1,-1
2019-05-31,-1,1490,-1,-1
2019-06-05,-1,2847,-1,-1
2019-06-06,-1,17297,-1,-1
2019-06-06,-1,7666,-1,-1
2019-06-06,-1,22173,-1,-1
2019-06-07,-1,3114,-1,-1
2019-06-07,-1,7228,-1,-1
2019-06-07,-1,3060,-1,-1
2019-06-08,-1,3460,-1,-1
2019-06-08,-1,1348,-1,-1
2019-06-09,-1,7070,-1,-1
2019-06-10,-1,203,-1,-1
2019-06-14,-1,1193,-1,-1
2019-06-17,-1,3989,-1,-1
2019-06-21,-1,11353,-1,-1
2019-06-21,-1,21068,-1,-1
2019-06-21,-1,119,-1,-1
2019-06-22,-1,3344,-1,-1
2019-06-22,-1,504,-1,-1
2019-06-22,-1,3745,-1,-1
2019-06-23,-1,2149,-1,-1
2019-06-23,-1,16598,-1,-1
2019-06-23,-1,862,-1,-1
2019-06-24,-1,2484,-1,-1
2019-06-24,-1,9356,-1,-1
2019-06-26,-1,4494,-1,-1
2019-06-26,-1,21849,-1,-1
2019-06-29,-1,78,-1,-1
2019-06-29,-1,7806,-1,-1
2019-06-30,-1,4965,-1,-1
2019-06-30,-1,19124,-1,-1
2019-07-01,-1,7692,-1,-1
2019-07-03,-1,4328,-1,-1
2019-07-04,【卢本伟主演】头号玩家！第一集：面对鲲鲲的挑战，开车还是开扌？,60423,http://www.bilibili.com/video/av57798444,57798444
2019-07-04,-1,4262,-1,-1
2019-07-05,-1,691,-1,-1
2019-07-05,-1,4178,-1,-1
2019-07-06,档案解密：为什么这么多人黑蔡徐坤？,50084,http://www.bilibili.com/video/av58040265,58040265
2019-07-07,-1,3946,-1,-1
2019-07-08,-1,1683,-1,-1
2019-07-10,-1,18022,-1,-1
2019-07-10,-1,597,-1,-1
2019-07-10,-1,7490,-1,-1
2019-07-11,-1,6723,-1,-1
2019-07-11,-1,3381,-1,-1
2019-07-12,-1,21988,-1,-1
2019-07-13,-1,6374,-1,-1
2019-07-13,-1,3478,-1,-1
2019-07-14,-1,11771,-1,-1
2019-07-14,-1,9618,-1,-1
2019-07-14,-1,9698,-1,-1
2019-07-14,这游戏居然让我变成坤坤？！,37142,http://www.bilibili.com/video/av59163900,59163900
2019-07-15,b站最全！当你用不同的软件打开坤坤,32342,http://www.bilibili.com/video/av59336245,59336245
2019-07-15,-1,4402,-1,-1
2019-07-18,当坤坤脑残粉元首看了坤坤的成名视频,36593,http://www.bilibili.com/video/av59685462,59685462
2019-07-18,-1,1272,-1,-1
2019-07-20,-1,17703,-1,-1
2019-07-21,-1,6244,-1,-1
2019-07-22,-1,15199,-1,-1
2019-07-22,-1,14611,-1,-1
2019-07-23,蔡徐坤和周杰伦比，主持人都忍不住了,92763,http://www.bilibili.com/video/av60461189,60461189
2019-07-23,-1,1299,-1,-1
2019-07-23,-1,18442,-1,-1
2019-07-24,-1,4594,-1,-1
2019-07-24,-1,20465,-1,-1
