pubdate_x,title,review,arcurl,aid
2019-04-14,-1,6343,-1,49365731
2019-04-14,-1,6343,-1,900980272
2019-04-14,-1,5204,-1,80480032
2019-04-14,-1,5204,-1,49289731
2019-04-15,-1,387,-1,819882259
2019-04-15,-1,3142,-1,49445815
2019-04-15,-1,681,-1,519982512
2019-04-15,-1,681,-1,835291295
2019-04-15,-1,387,-1,474585526
2019-04-15,-1,6475,-1,49313960
2019-04-15,-1,387,-1,228613849
2019-04-15,-1,1157,-1,435459536
2019-04-15,-1,387,-1,265147280
2019-04-15,-1,387,-1,49412594
2019-04-15,-1,1683,-1,49418864
2019-04-15,饭圈把B站污染成什么样了？致那些以爱之名捧杀自己爱豆的饭圈人们,25295,http://www.bilibili.com/video/av49432951,49432951
2019-04-15,-1,1157,-1,49413773
2019-04-15,-1,387,-1,388723373
2019-04-15,-1,681,-1,49424145
2019-04-15,-1,681,-1,283713959
2019-04-16,-1,2489,-1,49513115
2019-04-16,-1,314,-1,49550373
2019-04-16,-1,314,-1,388362931
2019-04-16,蔡徐坤原版无特效打篮球视频,10169,http://www.bilibili.com/video/av49559595,49559595
2019-04-16,-1,314,-1,929441629
2019-04-16,-1,1629,-1,49496779
2019-04-16,-1,3471,-1,49557291
2019-04-16,-1,3415,-1,49462006
2019-04-16,【鸡你太美】王妃,9050,http://www.bilibili.com/video/av49470985,49470985
2019-04-16,-1,1761,-1,49521590
2019-04-17,-1,642,-1,223172172
2019-04-17,-1,642,-1,732662803
2019-04-17,-1,642,-1,49614430
2019-04-17,-1,3867,-1,49598855
2019-04-17,-1,1153,-1,475654205
2019-04-17,-1,1153,-1,49592269
2019-04-17,-1,1153,-1,654378867
2019-04-17,-1,3839,-1,49628273
2019-04-17,-1,1153,-1,734980881
2019-04-18,-1,1072,-1,49733388
2019-04-18,-1,1323,-1,49740215
2019-04-18,-1,1323,-1,644804487
2019-04-18,-1,1323,-1,602318098
2019-04-18,-1,1299,-1,739181800
2019-04-18,-1,1299,-1,49687480
2019-04-18,-1,1299,-1,604287281
2019-04-18,-1,1129,-1,49739026
2019-04-18,-1,3182,-1,49684530
2019-04-18,-1,1129,-1,525380383
2019-04-18,-1,1129,-1,49984981
2019-04-19,-1,1054,-1,51586668
2019-04-19,-1,1054,-1,88074419
2019-04-19,-1,1922,-1,49760945
2019-04-19,-1,1922,-1,52331731
2019-04-19,-1,1054,-1,615482000
2019-04-19,-1,1054,-1,49813244
2019-04-19,-1,1054,-1,740377132
2019-04-19,-1,1872,-1,49825267
2019-04-19,-1,1054,-1,472987210
2019-04-20,-1,1756,-1,49951859
2019-04-20,-1,1778,-1,49934857
2019-04-20,-1,1778,-1,528240541
2019-04-20,-1,1129,-1,49739026
2019-04-20,-1,1129,-1,49984981
2019-04-20,被大20岁富婆看上？！相亲角到底是怎么样的？,24612,http://www.bilibili.com/video/av49816883,49816883
2019-04-20,-1,1251,-1,812197062
2019-04-20,【特效向】蔡徐坤VS全明星,8273,http://www.bilibili.com/video/av49868991,49868991
2019-04-20,-1,1129,-1,525380383
2019-04-20,-1,1251,-1,49958356
2019-04-22,-1,2599,-1,50183113
2019-04-22,-1,1204,-1,50148062
2019-04-22,-1,1204,-1,687923653
2019-04-22,-1,1204,-1,773594383
2019-04-22,-1,1204,-1,535392219
2019-04-23,-1,504,-1,50280628
2019-04-23,-1,504,-1,346576139
2019-04-23,-1,504,-1,905297336
2019-04-23,-1,504,-1,557542168
2019-04-25,-1,5695,-1,50425386
2019-04-25,-1,2845,-1,50391375
2019-04-26,-1,2722,-1,50521905
2019-04-27,-1,1512,-1,50675645
2019-04-28,-1,854,-1,945026437
2019-04-28,-1,854,-1,441722018
2019-04-28,-1,854,-1,50749787
2019-04-29,-1,6301,-1,50809138
2019-04-29,-1,2388,-1,50858488
2019-04-29,-1,2388,-1,95018009
2019-04-30,-1,780,-1,313203488
2019-04-30,-1,780,-1,575307848
2019-04-30,-1,3626,-1,50838255
2019-04-30,-1,780,-1,50908861
2019-04-30,-1,1554,-1,50913318
2019-05-01,-1,3033,-1,51001926
2019-05-02,-1,1706,-1,51211212
2019-05-02,-1,6717,-1,51199752
2019-05-02,-1,1941,-1,51229164
2019-05-02,-1,1941,-1,656296418
2019-05-03,-1,1774,-1,51291321
2019-05-03,-1,2748,-1,51330169
2019-05-03,-1,1269,-1,51335134
2019-05-03,-1,1111,-1,51228841
2019-05-03,-1,1190,-1,51257802
2019-05-04,你这鲲鲲已经会勾引人？,12057,http://www.bilibili.com/video/av51442604,51442604
2019-05-05,-1,1054,-1,740377132
2019-05-05,用3000根火柴绘成坤坤打篮球，点燃的那一瞬间，鸡你太美！,8317,http://www.bilibili.com/video/av51570615,51570615
2019-05-05,-1,1054,-1,615482000
2019-05-05,-1,1054,-1,49813244
2019-05-05,-1,1054,-1,51586668
2019-05-05,-1,1054,-1,472987210
2019-05-05,-1,1054,-1,88074419
2019-05-08,只因你太美（鸡你太美）原版,15811,http://www.bilibili.com/video/av51818204,51818204
2019-05-09,-1,2565,-1,51861763
2019-05-10,-1,1434,-1,51945746
2019-05-10,-1,716,-1,733055181
2019-05-10,-1,3289,-1,52017564
2019-05-10,-1,716,-1,347979054
2019-05-10,-1,716,-1,51969132
2019-05-10,-1,716,-1,814968005
2019-05-10,-1,716,-1,984884189
2019-05-13,-1,1922,-1,49760945
2019-05-13,-1,1922,-1,52331731
2019-05-13,-1,659,-1,52333086
2019-05-13,-1,2243,-1,52371938
2019-05-13,-1,952,-1,52295559
2019-05-13,-1,659,-1,730220050
2019-05-14,-1,440,-1,52418659
2019-05-14,-1,440,-1,400642128
2019-05-14,-1,440,-1,954678676
2019-05-15,午 夜 鲲 铃,9882,http://www.bilibili.com/video/av52530904,52530904
2019-05-18,-1,2466,-1,52769811
2019-05-19,-1,789,-1,220863507
2019-05-19,-1,789,-1,52889941
2019-05-23,鬼畜区UP被ikun骂到自闭（读私信）,28119,http://www.bilibili.com/video/av53347911,53347911
2019-05-24,-1,396,-1,53424854
2019-05-24,-1,396,-1,907855338
2019-05-24,-1,396,-1,280824927
2019-05-24,-1,396,-1,470800215
2019-05-24,-1,396,-1,613861714
2019-05-25,-1,1117,-1,348230131
2019-05-25,-1,1117,-1,53603994
2019-05-25,-1,2093,-1,53565047
2019-05-28,-1,671,-1,909402406
2019-05-28,-1,671,-1,296263647
2019-05-28,-1,671,-1,53853214
2019-05-30,-1,1819,-1,308961657
2019-05-30,-1,1819,-1,53901946
2019-05-30,-1,1067,-1,286205411
2019-05-30,-1,1067,-1,54099894
2019-05-31,-1,2082,-1,54081423
2019-05-31,-1,1611,-1,54149545
2019-06-05,-1,841,-1,901678449
2019-06-05,-1,841,-1,54611427
2019-06-05,-1,841,-1,909018873
2019-06-05,-1,841,-1,54874694
2019-06-06,-1,3778,-1,54715989
2019-06-06,-1,2892,-1,54681743
2019-06-06,-1,6949,-1,54677301
2019-06-07,-1,3201,-1,54798521
2019-06-07,-1,3201,-1,929186474
2019-06-07,-1,841,-1,909018873
2019-06-07,-1,841,-1,54874694
2019-06-07,-1,841,-1,54611427
2019-06-07,-1,989,-1,54837000
2019-06-07,-1,841,-1,901678449
2019-06-08,-1,1140,-1,54864550
2019-06-08,-1,1140,-1,570502692
2019-06-08,-1,1140,-1,65200620
2019-06-08,-1,840,-1,54940988
2019-06-08,-1,840,-1,361900986
2019-06-09,-1,1986,-1,55083194
2019-06-10,-1,366,-1,62708209
2019-06-10,-1,366,-1,856843187
2019-06-10,-1,366,-1,570149645
2019-06-10,-1,366,-1,562566805
2019-06-10,-1,366,-1,698199953
2019-06-10,-1,366,-1,55202581
2019-06-14,-1,707,-1,55532137
2019-06-14,-1,707,-1,385037352
2019-06-17,-1,1188,-1,777942843
