pubdate,title,play,arcurl,aid
2019-05-03,-1,2492655,-1,-1
2019-05-03,-1,2227252,-1,-1
2019-05-03,-1,1111405,-1,-1
2019-05-03,-1,2315844,-1,-1
2019-05-04,你这鲲鲲已经会勾引人？,9004053,http://www.bilibili.com/video/av51442604,51442604
2019-05-05,-1,1615152,-1,-1
2019-05-05,用3000根火柴绘成坤坤打篮球，点燃的那一瞬间，鸡你太美！,8649562,http://www.bilibili.com/video/av51570615,51570615
2019-05-08,只因你太美（鸡你太美）原版,22587938,http://www.bilibili.com/video/av51818204,51818204
2019-05-09,-1,2043424,-1,-1
2019-05-10,当蔡徐坤穿越到《我的世界》生存,12205563,http://www.bilibili.com/video/av52017564,52017564
2019-05-10,-1,1077801,-1,-1
2019-05-10,-1,1524953,-1,-1
2019-05-13,-1,2557940,-1,-1
2019-05-13,-1,2892344,-1,-1
2019-05-13,-1,1548216,-1,-1
2019-05-13,-1,4653240,-1,-1
2019-05-14,-1,1133841,-1,-1
2019-05-15,午 夜 鲲 铃,10138562,http://www.bilibili.com/video/av52530904,52530904
2019-05-18,-1,1934748,-1,-1
2019-05-19,-1,2586679,-1,-1
2019-05-23,-1,5347092,-1,-1
2019-05-24,-1,625616,-1,-1
2019-05-25,-1,900528,-1,-1
2019-05-25,-1,1938946,-1,-1
2019-05-28,-1,2827862,-1,-1
2019-05-30,-1,1590434,-1,-1
2019-05-30,-1,1619511,-1,-1
2019-05-31,-1,1949904,-1,-1
2019-05-31,-1,793922,-1,-1
2019-06-05,-1,1194451,-1,-1
2019-06-06,-1,3291234,-1,-1
2019-06-06,-1,3081764,-1,-1
2019-06-06,-1,3977149,-1,-1
2019-06-07,-1,658197,-1,-1
2019-06-07,-1,1082345,-1,-1
2019-06-07,-1,1293325,-1,-1
2019-06-08,-1,1350059,-1,-1
2019-06-08,-1,1341938,-1,-1
2019-06-09,-1,2374721,-1,-1
2019-06-10,-1,1125106,-1,-1
2019-06-14,-1,622894,-1,-1
2019-06-17,-1,2797081,-1,-1
2019-06-21,-1,4059060,-1,-1
2019-06-21,-1,2958406,-1,-1
2019-06-21,-1,1227249,-1,-1
2019-06-22,-1,1520958,-1,-1
2019-06-22,-1,1923504,-1,-1
2019-06-22,-1,839159,-1,-1
2019-06-23,-1,1974303,-1,-1
2019-06-23,-1,1573312,-1,-1
2019-06-23,-1,4872440,-1,-1
2019-06-24,-1,2610732,-1,-1
2019-06-24,-1,4243102,-1,-1
2019-06-26,-1,2423946,-1,-1
2019-06-26,-1,4449338,-1,-1
2019-06-29,-1,1558159,-1,-1
2019-06-29,-1,2149361,-1,-1
2019-06-30,-1,724264,-1,-1
2019-06-30,-1,2387223,-1,-1
2019-07-01,-1,2289265,-1,-1
2019-07-03,-1,3431692,-1,-1
2019-07-04,-1,2554076,-1,-1
2019-07-04,【卢本伟主演】头号玩家！第一集：面对鲲鲲的挑战，开车还是开扌？,15258400,http://www.bilibili.com/video/av57798444,57798444
2019-07-05,-1,862256,-1,-1
2019-07-05,-1,817192,-1,-1
2019-07-06,-1,3243102,-1,-1
2019-07-07,-1,2770655,-1,-1
2019-07-08,-1,4243173,-1,-1
2019-07-10,-1,1638442,-1,-1
2019-07-10,-1,1000803,-1,-1
2019-07-10,-1,914953,-1,-1
2019-07-11,-1,5289472,-1,-1
2019-07-11,-1,1054727,-1,-1
2019-07-12,-1,1440445,-1,-1
2019-07-13,-1,1840584,-1,-1
2019-07-13,-1,2877384,-1,-1
2019-07-14,-1,695821,-1,-1
2019-07-14,-1,2978424,-1,-1
2019-07-14,-1,2101661,-1,-1
2019-07-14,-1,1648335,-1,-1
2019-07-15,-1,1748061,-1,-1
2019-07-15,-1,5389788,-1,-1
2019-07-18,-1,2195830,-1,-1
2019-07-18,-1,2409376,-1,-1
2019-07-20,-1,1284086,-1,-1
2019-07-21,-1,1111136,-1,-1
2019-07-22,-1,3402383,-1,-1
2019-07-22,-1,2110619,-1,-1
2019-07-23,-1,1550758,-1,-1
2019-07-23,-1,1496878,-1,-1
2019-07-23,蔡徐坤和周杰伦比，主持人都忍不住了,7290607,http://www.bilibili.com/video/av60461189,60461189
2019-07-24,-1,1887402,-1,-1
2019-07-24,-1,4927731,-1,-1
2019-07-25,-1,3632958,-1,-1
2019-07-25,-1,787783,-1,-1
2019-07-25,-1,2907440,-1,-1
2019-07-26,-1,2151602,-1,-1
2019-07-26,-1,5279306,-1,-1
2019-07-27,-1,2023127,-1,-1
2019-07-28,-1,2041232,-1,-1
2019-07-29,-1,1627309,-1,-1
2019-07-29,-1,1727294,-1,-1
2019-07-30,-1,2016496,-1,-1
2019-07-30,-1,2382142,-1,-1
2019-07-30,-1,1640898,-1,-1
2019-07-31,-1,2424291,-1,-1
2019-07-31,-1,1636656,-1,-1
2019-07-31,-1,1706535,-1,-1
2019-08-01,-1,1659319,-1,-1
2019-08-02,-1,1098412,-1,-1
2019-08-02,-1,3619996,-1,-1
2019-08-03,-1,2163518,-1,-1
2019-08-03,-1,754582,-1,-1
2019-08-04,-1,607003,-1,-1
2019-08-05,-1,1197388,-1,-1
2019-08-06,-1,3213435,-1,-1
2019-08-07,-1,603459,-1,-1
2019-08-07,-1,671020,-1,-1
2019-08-07,-1,811405,-1,-1
2019-08-08,-1,1356160,-1,-1
2019-08-08,-1,2050441,-1,-1
2019-08-09,-1,604426,-1,-1
2019-08-09,-1,2583909,-1,-1
2019-08-09,-1,4246928,-1,-1
2019-08-10,-1,612488,-1,-1
2019-08-10,-1,3200723,-1,-1
2019-08-10,-1,2611748,-1,-1
2019-08-12,-1,1367800,-1,-1
2019-08-13,-1,1197928,-1,-1
2019-08-13,-1,1118044,-1,-1
2019-08-15,-1,3892644,-1,-1
2019-08-16,【大事件】坤坤问鼎流量王座？坤伦之战一触即发 暴走大事件第六季 30,7341812,http://www.bilibili.com/video/av63987224,63987224
2019-08-16,-1,860677,-1,-1
2019-08-16,-1,1320618,-1,-1
2019-08-16,-1,2363557,-1,-1
2019-08-19,-1,2408001,-1,-1
2019-08-21,-1,4747920,-1,-1
2019-08-23,-1,1676232,-1,-1
2019-08-24,-1,1024281,-1,-1
2019-08-24,-1,916580,-1,-1
2019-08-25,-1,1795142,-1,-1
2019-08-25,-1,2440005,-1,-1
2019-08-26,【全明星】芒种,16616831,http://www.bilibili.com/video/av65408651,65408651
2019-08-28,【蔡徐坤】芒种,10486718,http://www.bilibili.com/video/av65790846,65790846
2019-09-01,-1,836384,-1,-1
2019-09-01,-1,3593090,-1,-1
2019-09-02,-1,2717687,-1,-1
2019-09-03,-1,3469108,-1,-1
2019-09-05,-1,3863810,-1,-1
2019-09-10,-1,3052886,-1,-1
2019-09-12,-1,1795784,-1,-1
