pubdate,title,duration,arcurl,aid
2019-05-03,-1,1.68,-1,-1
2019-05-03,-1,1.33,-1,-1
2019-05-04,-1,2.8,-1,-1
2019-05-05,-1,3.45,-1,-1
2019-05-05,-1,0.85,-1,-1
2019-05-08,-1,1.0,-1,-1
2019-05-09,-1,1.98,-1,-1
2019-05-10,-1,3.87,-1,-1
2019-05-10,-1,3.53,-1,-1
2019-05-10,-1,1.52,-1,-1
2019-05-13,-1,3.97,-1,-1
2019-05-13,-1,1.22,-1,-1
2019-05-13,-1,1.78,-1,-1
2019-05-13,-1,2.23,-1,-1
2019-05-14,-1,1.37,-1,-1
2019-05-15,-1,4.02,-1,-1
2019-05-18,ikun铠甲，合体！！！,12.28,http://www.bilibili.com/video/av621710455,621710455
2019-05-18,中国boy的赞美能换到啥?以物换物第二期！,12.28,http://www.bilibili.com/video/av52769811,52769811
2019-05-19,-1,6.0,-1,-1
2019-05-23,-1,9.95,-1,-1
2019-05-24,-1,0.93,-1,-1
2019-05-25,-1,2.75,-1,-1
2019-05-25,-1,6.42,-1,-1
2019-05-28,-1,0.27,-1,-1
2019-05-30,-1,4.85,-1,-1
2019-05-30,-1,1.0,-1,-1
2019-05-31,-1,1.65,-1,-1
2019-05-31,-1,4.35,-1,-1
2019-06-05,-1,1.6,-1,-1
2019-06-06,-1,7.43,-1,-1
2019-06-06,-1,5.45,-1,-1
2019-06-06,-1,2.25,-1,-1
2019-06-07,-1,2.95,-1,-1
2019-06-07,-1,3.68,-1,-1
2019-06-07,-1,4.67,-1,-1
2019-06-08,-1,2.43,-1,-1
2019-06-08,-1,0.45,-1,-1
2019-06-09,-1,3.65,-1,-1
2019-06-10,-1,3.17,-1,-1
2019-06-14,-1,1.12,-1,-1
2019-06-17,-1,0.8,-1,-1
2019-06-21,-1,3.48,-1,-1
2019-06-21,-1,0.47,-1,-1
2019-06-21,-1,6.98,-1,-1
2019-06-22,-1,2.12,-1,-1
2019-06-22,-1,3.4,-1,-1
2019-06-22,-1,0.98,-1,-1
2019-06-23,全屏秒杀！那些出场自带地图buff的山海经异兽【潇洒观山海01】,15.53,http://www.bilibili.com/video/av56617044,56617044
2019-06-23,-1,0.27,-1,-1
2019-06-24,-1,2.42,-1,-1
2019-06-24,-1,2.8,-1,-1
2019-06-26,-1,2.55,-1,-1
2019-06-26,-1,2.68,-1,-1
2019-06-29,-1,3.58,-1,-1
2019-06-29,-1,0.27,-1,-1
2019-06-30,-1,9.57,-1,-1
2019-06-30,-1,3.18,-1,-1
2019-07-01,-1,1.08,-1,-1
2019-07-03,-1,0.85,-1,-1
2019-07-04,-1,0.95,-1,-1
2019-07-04,-1,8.08,-1,-1
2019-07-05,-1,4.23,-1,-1
2019-07-05,-1,1.28,-1,-1
2019-07-06,-1,8.38,-1,-1
2019-07-07,-1,1.7,-1,-1
2019-07-08,-1,0.55,-1,-1
2019-07-10,-1,1.82,-1,-1
2019-07-10,-1,1.85,-1,-1
2019-07-10,-1,0.2,-1,-1
2019-07-11,-1,1.98,-1,-1
2019-07-11,-1,1.7,-1,-1
2019-07-12,-1,4.48,-1,-1
2019-07-13,-1,0.57,-1,-1
2019-07-13,-1,1.82,-1,-1
2019-07-14,-1,5.92,-1,-1
2019-07-14,这游戏居然让我变成坤坤？！,23.95,http://www.bilibili.com/video/av59163900,59163900
2019-07-14,-1,5.6,-1,-1
2019-07-14,-1,1.58,-1,-1
2019-07-15,-1,3.67,-1,-1
2019-07-15,-1,1.23,-1,-1
2019-07-18,-1,5.88,-1,-1
2019-07-18,-1,0.17,-1,-1
2019-07-20,-1,10.45,-1,-1
2019-07-21,-1,3.17,-1,-1
2019-07-22,-1,4.05,-1,-1
2019-07-23,-1,7.25,-1,-1
2019-07-23,-1,7.53,-1,-1
2019-07-23,-1,1.5,-1,-1
2019-07-24,-1,7.73,-1,-1
2019-07-24,-1,1.53,-1,-1
2019-07-25,-1,3.07,-1,-1
2019-07-25,-1,2.57,-1,-1
2019-07-25,-1,0.25,-1,-1
2019-07-26,-1,7.05,-1,-1
2019-07-26,-1,3.68,-1,-1
2019-07-27,-1,3.85,-1,-1
2019-07-28,-1,4.65,-1,-1
2019-07-29,-1,2.28,-1,-1
2019-07-29,-1,1.18,-1,-1
2019-07-30,-1,3.98,-1,-1
2019-07-30,-1,2.25,-1,-1
2019-07-30,-1,1.0,-1,-1
2019-07-31,-1,10.18,-1,-1
2019-07-31,-1,0.97,-1,-1
