pubmonth,video_count
2022-03,4
2022-04,9
2022-05,19
2022-06,19
2022-07,21
2022-08,12
2022-09,4
2022-10,3
2023-01,3
2023-02,2
2023-03,1
2023-04,1
2023-05,2
2023-06,6
2023-07,7
2023-08,2
2023-09,1
2023-12,1
2024-01,1
